risk,path,issues
high,0xSojalSec-Watch_tower\watchTower.py,forbidden_import:subprocess;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output
high,0xSojalSec-WhatsApp-Key-Database-Extractor\protect.py,forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system
high,0xSojalSec-WhatsApp-Key-Database-Extractor\restore_whatsapp.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_module_call:subprocess.getoutput;forbidden_module_call:subprocess.getoutput
high,0xSojalSec-WhatsApp-Key-Database-Extractor\view_extract.py,forbidden_importfrom:subprocess;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system
high,0xSojalSec-WhatsApp-Key-Database-Extractor\wa_kdbe.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_module_call:subprocess.getoutput;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_module_call:subprocess.getoutput;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_module_call:subprocess.getoutput;forbidden_module_call:subprocess.getoutput;forbidden_module_call:subprocess.getoutput;forbidden_module_call:subprocess.getoutput;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_module_call:subprocess.getoutput;forbidden_attr_call:system
high,0xSojalSec-wifiphisher\setup.py,forbidden_attr_call:system
high,0xSojalSec-xs1\linuxtaller.py,forbidden_attr_call:system
high,ACTalker\download_models.py,forbidden_attr_call:system
high,ACTalker\Inference.py,forbidden_attr_call:system
high,ACTalker\kill_gpu.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_attr_call:system
high,ACTalker\kill_port.py,forbidden_attr_call:popen
high,ACTalker\test_environment.py,forbidden_attr_call:popen
high,Action-State-Labs-android-action-kernel\actions.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,althea\main.py,forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_attr_call:popen;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_attr_call:system;forbidden_module_call:subprocess.check_output;forbidden_attr_call:system
high,android-action-kernel\actions.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,Androset\androset.py,forbidden_import:subprocess;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_attr_call:system;forbidden_module_call:subprocess.check_output
high,APT-Hunter\APT-Hunter.py,forbidden_attr_call:system
high,brainstorm\benchmark.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,brainstorm\fuzzer.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,brainstorm\fuzzer_shortname.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-EverMemOS\src\core\interface\controller\debug\debug_controller.py,forbidden_call:exec
high,0xSojalSec-EverMemOS\src\core\oxm\mongo\migration\manager.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-EverMemOS\src\devops_scripts\i18n\i18n_tool.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-factorio-learning-environment\data\screenshots_to_mp4.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-factorio-learning-environment\fle\overlay_mcp.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-factorio-learning-environment\.claude\hooks\auto_continue.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-factorio-learning-environment\data\vqa\tasks.py,forbidden_call:eval
high,0xSojalSec-factorio-learning-environment\data\vqa\tasks\__init__.py,forbidden_call:eval
high,0xSojalSec-factorio-learning-environment\data\vqa\tasks\factory\task.py,forbidden_call:eval
high,0xSojalSec-factorio-learning-environment\data\vqa\tasks\terrain\task.py,forbidden_call:eval
high,0xSojalSec-factorio-learning-environment\data\vqa\tasks\blueprints\action_prediction\task.py,forbidden_call:eval
high,0xSojalSec-factorio-learning-environment\data\vqa\tasks\blueprints\basic\task.py,forbidden_call:eval
high,0xSojalSec-factorio-learning-environment\data\vqa\tasks\blueprints\contrastive_alignment\task.py,forbidden_call:eval;forbidden_call:eval
high,0xSojalSec-factorio-learning-environment\data\vqa\tasks\blueprints\denoising\task.py,forbidden_call:eval
high,0xSojalSec-factorio-learning-environment\data\vqa\tasks\blueprints\denoising_qa\task.py,forbidden_call:eval
high,0xSojalSec-factorio-learning-environment\data\vqa\tasks\blueprints\spatial_reasoning\task.py,forbidden_call:eval;forbidden_call:eval
high,0xSojalSec-factorio-learning-environment\fle\cluster\run_envs.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-factorio-learning-environment\fle\commons\cluster_ips.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
