[2026-02-14 18:41:02] Starting api with command: C:\DEV\PyAgent\.venv\Scripts\python.exe -m uvicorn src.infrastructure.services.api.agent_api_server:app --host 127.0.0.1 --port 8001
2026-02-14 18:41:14,678 | WARNING | PyAgent.src.infrastructure.swarm.voyager.transport_layer | [src.infrastructure.swarm.voyager.transport_layer] Voyager: Encryption disabled (no key provided).
2026-02-14 18:41:14,774 | INFO | root | Registry: Discovered 162 orchestrators.
2026-02-14 18:41:14,908 | INFO | root | Registry: Discovered 502 agents dynamically.
2026-02-14 18:41:15,211 | INFO | src.infrastructure.swarm.network.network_utils | get_local_network_ip: Selected 192.168.88.253 from ethernet ethernet 2 for LAN discovery
2026-02-14 18:41:15,229 | INFO | src.infrastructure.swarm.network.lan_discovery | LANDiscovery: Listening on port 31415
2026-02-14 18:41:15,243 | INFO | src.infrastructure.swarm.network.lan_discovery | LANDiscovery: Started on port 31415 (broadcast: True)
2026-02-14 18:41:15,243 | INFO | PyAgent.src.infrastructure.swarm.fleet.mixins.fleet_discovery_mixin | [src.infrastructure.swarm.fleet.mixins.fleet_discovery_mixin] FleetDiscovery: Initialized discovery for fleet-PyAgent
2026-02-14 18:41:15,329 | INFO | PyAgent.src.infrastructure.swarm.voyager.transport_layer | [src.infrastructure.swarm.voyager.transport_layer] Voyager: Transport Layer listening on 0.0.0.0:5555
C:\DEV\PyAgent\.venv\Lib\site-packages\zmq\_future.py:718: RuntimeWarning: Proactor event loop does not implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.
  self._get_loop()
2026-02-14 18:41:15,511 | INFO | PyAgent.src.infrastructure.swarm.voyager.discovery_node | [src.infrastructure.swarm.voyager.discovery_node] Voyager: Advertising node Fleet-PyAgent at 10.2.0.2:8000
2026-02-14 18:41:15,513 | INFO | PyAgent.src.infrastructure.swarm.voyager.discovery_node | [src.infrastructure.swarm.voyager.discovery_node] Voyager: Starting peer discovery browser...
2026-02-14 18:41:15,520 | INFO | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: Starting with thresholds H:70.0% C:90.0%
2026-02-14 18:41:18,688 | WARNING | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: CRITICAL LOAD DETECTED. Stats: {'cpu_percent': 100.0, 'memory_percent': 81.1, 'disk_percent': 80.4, 'network_io': {'bytes_sent': 680429840, 'bytes_recv': 406009509, 'packets_sent': 68
2026-02-14 18:41:18,689 | INFO | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: Threshold exceeded (>70%). Requesting compute borrow from swarm...
2026-02-14 18:41:18,690 | WARNING | root | Fleet: No peers available for compute borrowing.
2026-02-14 18:41:18,690 | WARNING | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: No neighbor available to take load.
2026-02-14 18:41:18,694 | INFO | PyAgent.src.infrastructure.swarm.voyager.transport_layer | [src.infrastructure.swarm.voyager.transport_layer] Voyager: Transport Layer stopped.
2026-02-14 18:41:18,698 | ERROR | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: Error in loop: 
